noise,amigo2_0_10,amigo2_0_100,odepe,odepe_polish,sciml
0.0,0.2711,0.5989,0.0001,0.0001,0.0785
1e-08,0.224,0.7552,0.0457,0.0484,0.076
1e-06,0.3097,3.1078,0.3022,0.2924,0.1064
0.0001,0.4005,0.8178,0.3444,0.2926,0.1426
0.01,1.3012,3.685,1.3458,1.3577,0.3373
